id,title,filtered_words,label
R129,New Report on Election,"['eat', 'tell', 'federal', 'know', 'successful.', 'travel', 'son', 'man', 'event', 'look', 'their.', 'officer', 'mention', 'health', 'green', 'high.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R227,New Report on Climate Change,"['support', 'young', 'mean', 'position.', 'entire', 'cut', 'wind.', 'ago', 'role', 'everyone', 'toward.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F231,Aliens Confirmed by Sources,"['else', 'window', 'fast', 'mother', 'involve', 'throughout', 'cold', 'else.', 'necessary', 'politics', 'star', 'blue', 'nearly.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
R066,New Report on Policy,"['test', 'particularly', 'attorney', 'matter', 'particularly', 'space.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
F095,Mind Control Confirmed by Sources,"['away', 'special', 'show', 'hold', 'end', 'season.', 'enter', 'politics', 'someone', 'leave', 'election', 'environment.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']",FAKE
R174,New Report on Policy,"['risk', 'sometimes', 'heavy', 'another', 'sell.', 'toward', 'together', 'business', 'remain', 'arm', 'western.', 'paper', 'soldier', 'part', 'rock.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
R201,New Report on Public Health,"['return', 'alone', 'kitchen', 'tough', 'run.', 'start', 'summer', 'education.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
R072,New Report on Education,"['clear', 'show', 'management.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']",REAL
R064,New Report on Research,"['find', 'lose', 'heavy.', 'drop', 'right', 'night', 'safe.', 'add', 'tend', 'really', 'home.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
F037,Miracle Drug Confirmed by Sources,"['dinner', 'program', 'tonight', 'value.', 'information', 'station', 'allow', 'growth', 'must.', 'energy', 'factor', 'parent', 'music', 'dark', 'exist', 'serve.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
R170,New Report on Technology Breakthrough,"['government', 'ability', 'scientist', 'six.', 'listen', 'decade', 'kid', 'his.', 'nearly', 'feeling', 'foot', 'election', 'mean', 'blood.', 'experts', 'discuss', 'ongoing', 'developments', 'technology', 'breakthrough.']",REAL
F110,Celebrity Scandal Confirmed by Sources,"['institution', 'leg', 'main', 'measure', 'white.', 'look', 'organization', 'left', 'response', 'fish.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']",FAKE
F048,Secret Cure Confirmed by Sources,"['next', 'pay', 'population.', 'beat', 'wall', 'enter', 'main.', 'foot', 'concern', 'see.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
F082,Hoax Confirmed by Sources,"['behavior', 'rate', 'office', 'style', 'pass', 'travel', 'hard.', 'pull', 'nothing', 'even', 'network.', 'use', 'management', 'nature', 'scientist', 'focus', 'scientist.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F187,Miracle Drug Confirmed by Sources,"['sell', 'window', 'force', 'pick', 'late', 'especially.', 'find', 'fine', 'activity.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F027,Miracle Drug Confirmed by Sources,"['seek', 'detail', 'make', 'affect', 'another', 'significant', 'seem', 'do.', 'account', 'sign', 'college', 'real', 'less', 'hear.', 'phone', 'bar', 'list', 'day', 'attack', 'begin', 'sport.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F202,Hoax Confirmed by Sources,"['man', 'many', 'age', 'thus', 'real.', 'treat', 'effect', 'price', 'coach', 'support.', 'old', 'easy', 'south', 'might', 'kind', 'represent', 'particularly.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F197,Secret Cure Confirmed by Sources,"['table', 'prevent', 'enjoy', 'pm', 'into.', 'line', 'beyond', 'than.', 'season', 'site', 'clearly', 'plant', 'issue', 'eight.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
R128,New Report on Climate Change,"['risk', 'west', 'institution', 'chance.', 'past', 'travel', 'adult', 'lot', 'lawyer', 'he.', 'claim', 'reveal', 'building', 'suddenly', 'land', 'economy', 'entire.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F157,Government Cover-Up Confirmed by Sources,"['writer', 'also', 'magazine', 'own.', 'friend', 'magazine', 'lead', 'church', 'fast', 'forget', 'team.', 'situation', 'white', 'night.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']",FAKE
