id,filtered_words,features,label_index
R129,"['eat', 'tell', 'federal', 'know', 'successful.', 'travel', 'son', 'man', 'event', 'look', 'their.', 'officer', 'mention', 'health', 'green', 'high.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[209,551,633,696,1850,2569,2907,3556,3614,3984,4108,4506,4687,7276,7728,7779,8094,8681,8805,9462,9939],[4.270695952029551,4.019381523748645,4.830311739964974,4.270695952029551,3.7316994512968646,3.4440173788450834,4.019381523748645,2.8844015909096608,0.6871770135734415,4.270695952029551,5.523458920524919,0.691153161953081,0.691153161953081,3.914021008090819,4.137164559405029,3.3262343431887,4.830311739964974,3.577548771469606,4.607168188650764,0.691153161953081,3.577548771469606])",1.0
R227,"['support', 'young', 'mean', 'position.', 'entire', 'cut', 'wind.', 'ago', 'role', 'everyone', 'toward.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']","(10000,[821,909,1206,1819,1896,1978,2059,3350,3614,4506,4531,4687,7809,8217,8824,8893,9462],[2.849310271098391,3.7316994512968646,3.8187108282864943,4.830311739964974,4.270695952029551,4.830311739964974,2.60568818844064,4.019381523748645,0.6871770135734415,0.691153161953081,4.830311739964974,0.691153161953081,4.607168188650764,4.270695952029551,4.019381523748645,3.6516567436233283,0.691153161953081])",1.0
F231,"['else', 'window', 'fast', 'mother', 'involve', 'throughout', 'cold', 'else.', 'necessary', 'politics', 'star', 'blue', 'nearly.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[354,503,650,2403,2437,3920,5034,5170,5768,5850,5887,5948,6271,7281,7936,7979,8338,9263,9757],[4.607168188650764,0.691153161953081,2.958509563063383,3.8187108282864943,5.117993812416755,4.270695952029551,3.914021008090819,4.42484663185681,4.270695952029551,0.691153161953081,3.8187108282864943,4.42484663185681,4.019381523748645,0.6753425559264385,0.691153161953081,3.8187108282864943,0.691153161953081,4.137164559405029,5.117993812416755])",0.0
R066,"['test', 'particularly', 'attorney', 'matter', 'particularly', 'space.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[1098,2402,3614,4506,4687,4853,6443,6586,6944,9462],[4.270695952029551,4.830311739964974,0.6871770135734415,0.691153161953081,0.691153161953081,4.830311739964974,7.637421656572989,3.8187108282864943,2.8154087194227095,0.691153161953081])",1.0
F095,"['away', 'special', 'show', 'hold', 'end', 'season.', 'enter', 'politics', 'someone', 'leave', 'election', 'environment.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']","(10000,[132,453,503,1055,1208,2389,2913,3184,3671,3737,4019,5089,5850,5887,7140,7281,7435,7936,8338],[4.137164559405029,4.270695952029551,0.691153161953081,4.137164559405029,2.8844015909096608,3.7316994512968646,3.914021008090819,2.6902455764687034,4.270695952029551,4.137164559405029,3.914021008090819,3.7316994512968646,0.691153161953081,3.8187108282864943,5.523458920524919,0.6753425559264385,3.8187108282864943,0.691153161953081,0.691153161953081])",0.0
R174,"['risk', 'sometimes', 'heavy', 'another', 'sell.', 'toward', 'together', 'business', 'remain', 'arm', 'western.', 'paper', 'soldier', 'part', 'rock.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[1310,3194,3497,3614,3984,4141,4506,4687,5205,5374,5869,6944,8166,8312,8690,8740,8794,8949,9296,9462],[5.523458920524919,4.42484663185681,4.137164559405029,0.6871770135734415,4.270695952029551,4.270695952029551,0.691153161953081,0.691153161953081,4.607168188650764,4.42484663185681,4.42484663185681,2.8154087194227095,4.137164559405029,4.137164559405029,4.137164559405029,4.42484663185681,4.137164559405029,4.42484663185681,4.830311739964974,0.691153161953081])",1.0
R201,"['return', 'alone', 'kitchen', 'tough', 'run.', 'start', 'summer', 'education.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']","(10000,[635,756,1770,2492,2996,3614,4506,4687,5047,5447,6219,7912,9462,9481],[4.019381523748645,4.270695952029551,2.920769235080536,4.137164559405029,3.7316994512968646,0.6871770135734415,0.691153161953081,0.691153161953081,2.6902455764687034,3.577548771469606,3.0811118851557153,4.42484663185681,0.691153161953081,4.270695952029551])",1.0
R072,"['clear', 'show', 'management.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']","(10000,[1611,1815,3614,4019,4506,4687,5047,9462],[4.607168188650764,5.523458920524919,0.6871770135734415,3.914021008090819,0.691153161953081,0.691153161953081,2.6902455764687034,0.691153161953081])",1.0
R064,"['find', 'lose', 'heavy.', 'drop', 'right', 'night', 'safe.', 'add', 'tend', 'really', 'home.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']","(10000,[1411,1790,1810,2091,3614,4112,4422,4506,4687,5861,6869,7066,7510,8577,9462,9887],[5.117993812416755,4.137164559405029,4.019381523748645,5.523458920524919,0.6871770135734415,4.42484663185681,3.7316994512968646,0.691153161953081,0.691153161953081,4.830311739964974,4.42484663185681,2.8844015909096608,4.270695952029551,3.914021008090819,0.691153161953081,3.914021008090819])",1.0
F037,"['dinner', 'program', 'tonight', 'value.', 'information', 'station', 'allow', 'growth', 'must.', 'energy', 'factor', 'parent', 'music', 'dark', 'exist', 'serve.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[320,490,503,573,697,1256,2240,3389,3739,4835,5850,6370,6602,7160,7281,7860,7936,8190,8307,8338,8415,9561,9932],[4.137164559405029,5.117993812416755,0.691153161953081,4.137164559405029,4.137164559405029,3.125563647726549,4.42484663185681,3.914021008090819,4.830311739964974,4.270695952029551,0.691153161953081,4.137164559405029,4.270695952029551,5.117993812416755,0.6753425559264385,2.958509563063383,0.691153161953081,4.019381523748645,4.019381523748645,0.691153161953081,4.137164559405029,4.270695952029551,3.7316994512968646])",0.0
